title,description,category,location,price,duration,highlights,url
Dubai City Tour,Explore the modern marvels of Dubai including Burj Khalifa and Dubai Mall,City Tour,Dubai,150 AED,4 hours,"Burj Khalifa, Dubai Mall, Dubai Fountain",https://raynatours.com/dubai-city-tour
Abu Dhabi Full Day,Discover the capital city with Sheikh Zayed Mosque and Emirates Palace,City Tour,Abu Dhabi,250 AED,8 hours,"Sheikh Zayed Mosque, Emirates Palace, Louvre Abu Dhabi",https://raynatours.com/abu-dhabi-tour
Desert Safari Dubai,Experience the magic of Arabian desert with dune bashing and BBQ dinner,Adventure,Dubai,200 AED,6 hours,"Dune bashing, Camel riding, BBQ dinner, Belly dance",https://raynatours.com/desert-safari
Dhow Cruise Marina,Romantic dinner cruise in Dubai Marina with stunning city views,Cruise,Dubai,180 AED,2 hours,"Dubai Marina views, International buffet, Live entertainment",https://raynatours.com/dhow-cruise-marina
Burj Khalifa At The Top,Skip-the-line tickets to the world's tallest building observation deck,Attraction,Dubai,300 AED,2 hours,"148th floor, Panoramic views, High-speed elevator",https://raynatours.com/burj-khalifa
Ferrari World Abu Dhabi,Thrilling theme park with world's fastest roller coaster,Theme Park,Abu Dhabi,350 AED,Full day,"Formula Rossa, Flying Aces, Ferrari experiences",https://raynatours.com/ferrari-world
Atlantis Aquaventure,Dubai's premier waterpark with slides and marine encounters,Water Park,Dubai,300 AED,Full day,"Shark slides, Ray feeding, Beach access",https://raynatours.com/atlantis-aquaventure
Dubai Miracle Garden,World's largest flower garden with stunning floral displays,Garden,Dubai,75 AED,3 hours,"15 million flowers, Heart pathway, Butterfly garden",https://raynatours.com/miracle-garden
Ski Dubai,Indoor skiing experience in the middle of the desert,Adventure,Dubai,220 AED,3 hours,"Real snow, Ski slopes, Penguin encounters",https://raynatours.com/ski-dubai
Global Village,Cultural and shopping destination with pavilions from 75 countries,Cultural,Dubai,25 AED,4 hours,"Cultural shows, International food, Shopping",https://raynatours.com/global-village